item_id,authors,title,venue,year
404980,"['Yusen Zhang 0001', 'Jun Wang 0122', 'Zhiguo Wang', 'Rui Zhang 0037']",XSemPLR: Cross-Lingual Semantic Parsing in Multiple Natural Languages and Meaning Representations.,ACL,2023
404981,"['Meiqi Chen 0001', 'Yixin Cao 0002', 'Yan Zhang', 'Zhiwei Liu']",CHEER: Centrality-aware High-order Event Reasoning Network for Document-level Event Causality Identification.,ACL,2023
404984,"['Dou Hu 0001', 'Yinan Bao', 'Lingwei Wei', 'Wei Zhou 0019', 'Songlin Hu']",Supervised Adversarial Contrastive Learning for Emotion Recognition in Conversations.,ACL,2023
404986,"['Ziqing Yang 0001', 'Yiming Cui', 'Xin Yao', 'Shijin Wang 0001']",Gradient-based Intra-attention Pruning on Pre-trained Language Models.,ACL,2023
404987,"['Shweta Yadav 0001', 'Cornelia Caragea', 'Chenye Zhao', 'Naincy Kumari', 'Marvin Solberg', 'Tanmay Sharma']",Towards Identifying Fine-Grained Depression Symptoms from Memes.,ACL,2023
404992,"['Weinan He 0001', 'Canming Huang', 'Zhanhao Xiao', 'Yongmei Liu 0001']",Exploring the Capacity of Pretrained Language Models for Reasoning about Actions and Change.,ACL,2023
404993,"['Fanghua Ye 0001', 'Zhiyuan Hu', 'Emine Yilmaz']",Modeling User Satisfaction Dynamics in Dialogue via Hawkes Process.,ACL,2023
404996,"['Yulong Chen 0001', 'Yang Liu', 'Ruochen Xu', 'Ziyi Yang', 'Chenguang Zhu 0001', 'Michael Zeng 0001', 'Yue Zhang']",UniSumm and SummZoo: Unified Model and Diverse Benchmark for Few-Shot Summarization.,ACL,2023
404997,"['Yongfeng Huang 0001', 'Yanyang Li', 'Yichong Xu', 'Lin Zhang', 'Ruyi Gan', 'Jiaxing Zhang', 'Liwei Wang']",MVP-Tuning: Multi-View Knowledge Retrieval with Prompt Tuning for Commonsense Reasoning.,ACL,2023
404998,"['Hao Fei 0001', 'Qian Liu 0012', 'Meishan Zhang', 'Min Zhang', 'Tat-Seng Chua']",Scene Graph as Pivoting: Inference-time Image-free Unsupervised Multimodal Machine Translation with Visual Scene Hallucination.,ACL,2023
405000,"['Xinyan Yu 0001', 'Sewon Min', 'Luke Zettlemoyer', 'Hannaneh Hajishirzi']",CREPE: Open-Domain Question Answering with False Presuppositions.,ACL,2023
405001,"['Qiyu Wu 0001', 'Masaaki Nagata', 'Yoshimasa Tsuruoka']",WSPAlign: Word Alignment Pre-training via Large-Scale Weakly Supervised Span Prediction.,ACL,2023
405002,"['Fangyu Liu 0001', 'Francesco Piccinno', 'Syrine Krichene', 'Chenxi Pang', 'Kenton Lee', 'Mandar Joshi', 'Yasemin Altun', 'Nigel Collier', 'Julian Martin Eisenschlos']",MatCha: Enhancing Visual Language Pretraining with Math Reasoning and Chart Derendering.,ACL,2023
405004,"['Yongliang Shen 0001', 'Kaitao Song', 'Xu Tan 0003', 'Dongsheng Li 0002', 'Weiming Lu 0001', 'Yueting Zhuang']",DiffusionNER: Boundary Diffusion for Named Entity Recognition.,ACL,2023
405006,"['Hang Yan 0001', 'Yu Sun', 'Xiaonan Li', 'Yunhua Zhou', 'Xuanjing Huang 0001', 'Xipeng Qiu']",UTC-IE: A Unified Token-pair Classification Architecture for Information Extraction.,ACL,2023
405007,"['Yongliang Shen 0001', 'Zeqi Tan', 'Shuhui Wu', 'Wenqi Zhang', 'Rongsheng Zhang', 'Yadong Xi', 'Weiming Lu 0001', 'Yueting Zhuang']",PromptNER: Prompt Locating and Typing for Named Entity Recognition.,ACL,2023
405010,"['Soumya Sanyal 0001', 'Yichong Xu', 'Shuohang Wang', 'Ziyi Yang', 'Reid Pryzant', 'Wenhao Yu 0002', 'Chenguang Zhu 0001', 'Xiang Ren 0001']",APOLLO: A Simple Approach for Adaptive Pretraining of Language Models for Logical Reasoning.,ACL,2023
405011,"['Yongqi Li 0001', 'Nan Yang 0002', 'Liang Wang', 'Furu Wei', 'Wenjie Li 0002']",Multiview Identifiers Enhanced Generative Retrieval.,ACL,2023
405013,"['Yulong Chen 0001', 'Huajian Zhang', 'Yijie Zhou', 'Xuefeng Bai 0001', 'Yueguan Wang', 'Ming Zhong', 'Jianhao Yan', 'Yafu Li', 'Judy Li', 'Xianchao Zhu', 'Yue Zhang 0004']",Revisiting Cross-Lingual Summarization: A Corpus-based Study and A New Benchmark with Improved Annotation.,ACL,2023
405016,"['Mingqi Gao 0002', 'Xiaojun Wan 0001', 'Jia Su', 'Zhefeng Wang', 'Baoxing Huai']",Reference Matters: Benchmarking Factual Error Correction for Dialogue Summarization with Fine-grained Evaluation Framework.,ACL,2023
405019,"['Uri Shaham 0002', 'Maha Elbayad', 'Vedanuj Goswami', 'Omer Levy', 'Shruti Bhosale']",Causes and Cures for Interference in Multilingual Translation.,ACL,2023
